form_year,form_month,Stkcd,beta,size,ln_size,book_equity,be_me,ln_be_me,size_decile,beta_decile,beme_decile,size_beta_decile,size_beme_decile
1993,1993-06,000504,,3036502.480000,14.9262169110,174341818.230000,57.4153386596,4.0503114917,8,,1,,3
1993,1993-06,000505,,2783920.000000,14.8393705644,121702872.500000,43.7163684660,3.7777225964,8,,1,,1
1993,1993-06,000506,,1689271.630000,14.3398080058,,,,6,,,,
1993,1993-06,000507,,3265128.860000,14.9988097870,,,,8,,,,
1993,1993-06,000508,,3175115.000000,14.9708544101,,,,8,,,,
1993,1993-06,000509,,1178253.000000,13.9795433909,,,,4,,,,
1993,1993-06,000510,,726660.000000,13.4962139717,,,,3,,,,
1993,1993-06,000511,,872547.300000,13.6791721436,,,,4,,,,
1993,1993-06,600601,0.4755003617,297600.000000,12.6035055819,78806362.820000,264.8063266801,5.5789987161,1,1,10,4,9
1993,1993-06,600602,0.8901119837,2033315.850000,14.5251784421,712770141.330000,350.5457065758,5.8594911019,6,8,10,1,8
