Trdmnt,RF,RM,MKT_RF,SMB,HML,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2002-12,0.0016350000000000002,-0.052641,-0.054276,0.0012965544974756493,-0.01653947244420398,-0.03482562543198898,-0.05301609140793002,-0.055230930169047315,-0.04462934163675182,-0.04502998707653999,-0.05730298178810145,204,235,108,124,204,222
2003-01,0.0016350000000000002,0.099691,0.098056,0.01331182911279176,0.01503567978236324,0.10568604974833361,0.10295024254384742,0.09421057611653405,0.06917049861503059,0.08302355064375265,0.11071733181155662,204,235,108,124,204,222
2003-02,0.0016350000000000002,0.008816,0.007180999999999999,0.009885053447013004,0.004278221213275394,0.016938330146722084,0.016513628979732537,0.02025495786732336,0.006816759773328866,0.005178422400131731,0.01205657447927838,202,236,108,124,204,222
2003-03,0.0016350000000000002,-0.006821,-0.008456,-0.026264148215865177,0.01465581778259673,-0.035887130371358045,-0.03179013395761008,-0.022326387672473146,-0.008914236221780916,-0.009133627776592459,0.006836656644527642,202,236,108,124,203,222
2003-04,0.0016350000000000002,-0.002774,-0.004409,-0.057091652767642595,0.04300462994030695,-0.0779836349640569,-0.05220758625503744,-0.038717083737063736,-0.015341232158511228,-0.01369359098982857,0.031401476495109513,201,236,108,124,202,222
2003-05,0.0016350000000000002,0.042473,0.040838,-0.010562943517670662,0.006299698436482815,0.030651962791850028,0.03449921905862177,0.04337668240813459,0.043401592974148355,0.0535388316066406,0.043276270230829424,196,235,107,124,201,218
2003-06,0.0016350000000000002,-0.061289,-0.06292400000000001,-0.006876108820769805,0.005817420934014175,-0.06527883550522823,-0.06730724077899017,-0.08035270353433256,-0.07427054578942198,-0.07047807167453025,-0.0475618358922893,197,235,107,123,201,220
2003-07,0.0016350000000000002,-0.010819,-0.012454,-0.03751845563854905,0.014694634980826633,-0.04469503978219036,-0.04292808955677251,-0.038638854353151925,-0.015021183807185555,-0.00699733369471136,0.008311900725429274,203,251,126,145,213,221
2003-08,0.0016350000000000002,-0.033627,-0.035261999999999995,0.01915543963058626,-0.010776363875402945,-0.007981154961165,-0.024074301616181754,-0.023557935485819158,-0.03371320406411973,-0.03967735560053351,-0.039689151290271465,202,251,126,145,213,221
2003-09,0.0016350000000000002,-0.042782,-0.044417,-0.007477213578705295,0.01048293852852903,-0.05789035085464092,-0.04851398542965221,-0.04504198129152968,-0.044403683668772974,-0.04832481699610778,-0.036286176174826164,199,251,126,145,213,221
2003-10,0.0016350000000000002,-0.022683,-0.024318,-0.06738875472080182,0.06248284105878518,-0.10271731370880015,-0.08451524047029495,-0.06693117468467709,-0.05823009638889359,-0.02471681501702684,0.030949446704553695,201,251,126,144,213,220
2003-11,0.0016350000000000002,0.025833,0.024197999999999997,-0.012055590052818964,0.0446549798889265,-0.006269681867435897,0.014497315798806384,0.028577572826645855,-0.0007606108725883502,0.020030493577878665,0.0537020942111829,201,251,126,144,213,220
2003-12,0.0016350000000000002,0.057192,0.055557,-0.08627772102909914,0.06774104809869586,-0.04957078020468549,-0.02313426306696027,-0.01627265273497531,0.006994745663833097,0.05368200702532864,0.10917871439151462,203,251,126,145,213,220
2004-01,0.0016350000000000002,0.063845,0.06221,0.03371993364733051,-0.0050713808549826545,0.09800542312188379,0.08728192439066967,0.09533845813118826,0.06211096906462318,0.06271986329177365,0.0546351723453534,203,251,126,145,213,220
2004-02,0.0016350000000000002,0.064924,0.063289,0.04460763163961332,-0.01040069340448005,0.11207102243512886,0.10092933739207977,0.09031520883797667,0.05773954200991989,0.05305916293831344,0.05869396879811197,203,251,126,143,213,220
2004-03,0.0016350000000000002,0.037788,0.036153000000000005,0.016998129189726464,0.02207925477662077,0.0466610567052522,0.05357822713609569,0.04659892826891404,0.006471823219605518,0.0386795401122918,0.050692461209185226,203,250,126,144,213,220
2004-04,0.0016350000000000002,-0.092837,-0.094472,0.0028836283202249152,0.03239297714789274,-0.10611694580152238,-0.09464999186648426,-0.09570818022892125,-0.14094161770389863,-0.07761995617298971,-0.08656442898071424,200,250,126,143,213,220
2004-05,0.0016350000000000002,-0.023122,-0.024757,0.012647118064058856,0.0014155868769273779,-0.015063266877229425,-0.006799957027852042,-0.013683388347122164,-0.027585894960973266,-0.01976747174618116,-0.026134599737225775,192,246,126,141,212,219
2004-06,0.0016350000000000002,-0.101779,-0.10341399999999999,-0.028807468261308672,0.016473872393424502,-0.13310049373728655,-0.13006488208945136,-0.13543291770599963,-0.11266939612060368,-0.1221172652631662,-0.07738922736504159,192,246,126,141,212,220
2004-07,0.0016350000000000002,-0.008297,-0.009932,-0.037137485333136454,0.0078513308570916,-0.047218354678274094,-0.03741464507220651,-0.024212855154216804,0.004788451088710197,0.0002925367271656557,-0.002514386721163891,188,237,178,174,246,184
2004-08,0.0016350000000000002,-0.037501,-0.039136,-0.013411963543749371,0.017150372352628618,-0.06210510280037602,-0.03918299852136582,-0.04073190833027116,-0.04586316842659151,-0.022985332402734242,-0.03293561819143914,188,237,178,174,245,184
2004-09,0.0016350000000000002,0.048605,0.046970000000000005,-0.0067065151234287634,0.004523637445991269,0.03716111683596989,0.04092606904986003,0.04501866594798886,0.045676936268497365,0.05068179888714677,0.04686666204846093,189,236,176,174,245,184
2004-10,0.0018559999999999998,-0.054967,-0.056823,-0.026415621489213746,-0.013945865424395534,-0.0792647271041282,-0.07694028210943722,-0.07845598583108433,-0.03754214296734983,-0.051629372520473914,-0.06624261508918475,189,236,176,174,245,184
2004-11,0.0018559999999999998,0.016995,0.015139,0.04284276610110577,-0.004363478677337461,0.0640509226531074,0.05597697219355657,0.04468571628982123,0.009487837440412372,0.006571388943731891,0.02012608644902361,189,237,178,174,245,183
2004-12,0.0018559999999999998,-0.061204,-0.06306,-0.026525250024902546,0.011552619468346764,-0.0834610311230277,-0.08462385110100754,-0.07854036927698968,-0.06636075270845715,-0.052512573100058496,-0.04817617561780167,189,237,178,174,246,184
2005-01,0.0018559999999999998,-0.060613,-0.062469,-0.014315447763895997,-0.007191446163330159,-0.057710361989020985,-0.07732003280141153,-0.0746857081181213,-0.05554608529923606,-0.05827004282083375,-0.05295363149679606,189,237,177,174,246,184
2005-02,0.0018559999999999998,0.096232,0.094376,0.01267363200569012,0.00643650047083269,0.10178272857867458,0.10668478153669467,0.10388067615602822,0.08166370372919593,0.10022482943162353,0.09243875709350767,188,237,177,174,246,184
2005-03,0.0018559999999999998,-0.096957,-0.098813,-0.03894030454768646,-0.010805450120688245,-0.13304980080414694,-0.1317395705382942,-0.12856191303841735,-0.08432586077416217,-0.08177986118236874,-0.11042464878126826,188,237,177,174,246,184
2005-04,0.0018559999999999998,-0.026668,-0.028524,-0.07042429110958448,0.0050825529881805345,-0.09777423476214031,-0.09498606080963365,-0.06696209072698862,-0.004743948464944326,-0.018314577981329894,-0.025390986523734952,188,237,177,174,246,184
2005-05,0.0018559999999999998,-0.079008,-0.08086399999999999,0.047261359813361964,0.0012084851441709205,-0.03020752124634968,-0.03009009710659722,-0.03934965929686825,-0.07644668524616575,-0.10009709493642992,-0.06488757690730534,182,232,174,174,245,184
2005-06,0.0018559999999999998,0.021338,0.019482,-0.02238095060361393,-0.012831394423430223,-0.006949781712822787,-0.005831826874634585,0.001969898323432078,0.02913027560628032,0.03265305921737117,-0.005452193276834989,183,232,174,174,246,184
2005-07,0.0018559999999999998,-0.002172,-0.0040279999999999995,-0.0922603968364158,-0.006919371442523352,-0.09314481253011068,-0.07694951279505101,-0.08573757979918102,0.0052458504122939965,0.03170356017629305,-0.016000125203682363,194,272,186,197,250,205
2005-08,0.0018559999999999998,0.08808,0.08622400000000001,0.10741038445529366,-0.014572209242059611,0.20043458936967717,0.18064552238085252,0.1616048128838843,0.06665527579347937,0.07745786167990065,0.07634063379515299,193,272,186,197,249,204
2005-09,0.0018559999999999998,-0.000958,-0.0028139999999999997,0.02503984921405049,-0.01222363287427573,0.030144014623244737,0.02886690979301056,0.007322283417585696,0.0032355340341344435,-0.013631873333686938,0.0016099994912420253,195,270,186,197,250,205
2005-10,0.0018559999999999998,-0.052819,-0.054674999999999994,-0.01138024575030449,-0.010993064386711146,-0.06671699333600319,-0.05530806831088979,-0.06899301015586203,-0.043239714951841486,-0.05068779269459511,-0.06294982690540493,194,269,186,196,249,203
2005-11,0.0018559999999999998,0.004075,0.0022189999999999996,0.020966760827603726,0.012030233669298148,0.02143197164306781,0.021237435970519417,0.017442737549788517,-0.022631035821407786,0.014424232891504548,0.0054186656104678,195,272,185,195,249,204
2005-12,0.0018559999999999998,0.059419,0.057563,-0.057463090179876095,0.015645162207923554,-0.004256449000616259,0.01217563896310113,0.017647173727221455,0.054294484535154494,0.07997996347101623,0.06368118622316389,193,269,185,196,246,203
2006-01,0.0018559999999999998,0.091074,0.089218,-0.016444798119827103,0.013176392468433107,0.0690870412879486,0.0870707274113452,0.08690112833251085,0.10211534829016501,0.07962389691865195,0.110654046182469,193,267,183,190,242,199
2006-02,0.0018559999999999998,0.038948,0.03709200000000001,-0.009607306377286157,0.013380968965565336,0.02875157210592745,0.018600473661751868,0.045299122601639555,0.034261013703282134,0.042736672659194515,0.044475401138700695,194,267,183,189,243,202
2006-03,0.0018559999999999998,0.008027,0.006170999999999999,-0.005556212444657079,0.009379154271648411,-0.005937005699033076,0.006328934271678191,0.016529849193042193,0.019062626579950382,-0.0008262917114637689,0.015354080231171931,190,265,185,191,237,201
