Trdmnt,size_quintile,bm_quintile,portfolio,vw_return,excess_return,n_stocks
2023-05,5,5,S5B5,-0.031759264003061435,-0.033124264003061434,169
2023-06,1,1,S1B1,0.04330476059994293,0.041939760599942935,102
2023-06,1,2,S1B2,0.055177195540885016,0.05381219554088502,117
2023-06,1,3,S1B3,0.054582973755679866,0.05321797375567987,164
2023-06,1,4,S1B4,0.05588729992812372,0.05452229992812372,149
2023-06,1,5,S1B5,0.03343626228657894,0.032071262286578944,61
2023-06,2,1,S2B1,0.040049979010311466,0.03868497901031147,85
2023-06,2,2,S2B2,0.026028575241894673,0.02466357524189467,129
2023-06,2,3,S2B3,0.045579196106685704,0.044214196106685706,136
2023-06,2,4,S2B4,0.032235395146536894,0.030870395146536892,154
2023-06,2,5,S2B5,0.032957982571708413,0.031592982571708415,111
2023-06,3,1,S3B1,0.026124506881861992,0.02475950688186199,100
2023-06,3,2,S3B2,0.019128113092338774,0.017763113092338773,124
2023-06,3,3,S3B3,0.045253505918705354,0.043888505918705356,139
2023-06,3,4,S3B4,0.03149923293564473,0.03013423293564473,131
2023-06,3,5,S3B5,0.005368915601884606,0.004003915601884606,124
2023-06,4,1,S4B1,0.03952596890890201,0.03816096890890201,125
2023-06,4,2,S4B2,0.01896034952684286,0.017595349526842857,135
2023-06,4,3,S4B3,0.002019204103237911,0.0006542041032379109,103
2023-06,4,4,S4B4,0.01066909646010515,0.00930409646010515,104
2023-06,4,5,S4B5,-0.0013578595901700304,-0.0027228595901700303,150
2023-06,5,1,S5B1,0.02790264284247025,0.02653764284247025,189
2023-06,5,2,S5B2,0.036098812983397705,0.034733812983397706,109
2023-06,5,3,S5B3,0.015353518359220065,0.013988518359220065,73
2023-06,5,4,S5B4,0.03639375644289958,0.03502875644289958,78
2023-06,5,5,S5B5,-0.004950984889763684,-0.006315984889763684,169
2023-07,1,1,S1B1,0.07991210029425609,0.07854710029425609,139
2023-07,1,2,S1B2,0.038305201901295965,0.03694020190129597,131
2023-07,1,3,S1B3,0.041327447568837314,0.039962447568837316,142
2023-07,1,4,S1B4,0.05244727773424611,0.05108227773424611,148
2023-07,1,5,S1B5,0.07573172788956445,0.07436672788956444,56
2023-07,2,1,S2B1,0.0161827935245104,0.014817793524510401,98
2023-07,2,2,S2B2,0.003359245782439921,0.0019942457824399205,123
2023-07,2,3,S2B3,0.005755186063332231,0.004390186063332231,153
2023-07,2,4,S2B4,0.022996145547731748,0.021631145547731746,140
2023-07,2,5,S2B5,0.0800526365791772,0.0786876365791772,110
2023-07,3,1,S3B1,-0.001444628781891257,-0.0028096287818912572,111
2023-07,3,2,S3B2,-0.00980842250422125,-0.01117342250422125,137
2023-07,3,3,S3B3,-0.0005152679403703438,-0.0018802679403703438,127
2023-07,3,4,S3B4,0.02190083856441346,0.020535838564413458,128
2023-07,3,5,S3B5,0.09161395764881877,0.09024895764881877,121
2023-07,4,1,S4B1,0.0034178374568131316,0.0020528374568131317,111
2023-07,4,2,S4B2,-0.004247394832039381,-0.005612394832039381,139
2023-07,4,3,S4B3,-0.0050993167195845,-0.0064643167195845,119
2023-07,4,4,S4B4,0.014678953915201153,0.013313953915201153,102
2023-07,4,5,S4B5,0.07172115042948649,0.07035615042948648,153
2023-07,5,1,S5B1,0.04279267304338086,0.04142767304338086,162
2023-07,5,2,S5B2,0.02035165415565531,0.018986654155655307,94
2023-07,5,3,S5B3,0.031852191236577676,0.030487191236577674,82
2023-07,5,4,S5B4,0.031144771317776532,0.02977977131777653,104
2023-07,5,5,S5B5,0.07170424491990757,0.07033924491990756,182
2023-08,1,1,S1B1,-0.03673587501615887,-0.038100875016158865,137
2023-08,1,2,S1B2,-0.03345348841893681,-0.03481848841893681,131
2023-08,1,3,S1B3,-0.029497510345472825,-0.030862510345472827,140
2023-08,1,4,S1B4,-0.021053527952299332,-0.022418527952299334,148
2023-08,1,5,S1B5,-0.043154344089793156,-0.044519344089793154,55
2023-08,2,1,S2B1,-0.06413573663228388,-0.06550073663228388,98
2023-08,2,2,S2B2,-0.042220263066254024,-0.04358526306625402,123
2023-08,2,3,S2B3,-0.04374044300789696,-0.045105443007896956,153
