Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2011-10,0.032256949050537394,0.0399968450635033,0.031469220356785566,0.025638889906717248,0.02256800399367143,0.05548162910465398,247,396,226,273,300,298
2011-11,-0.03282380016037575,-0.0363708561351056,-0.05002546245901518,-0.030237081377472833,-0.06719059742868802,-0.0589181875230771,246,394,226,274,300,296
2011-12,-0.19417788267469802,-0.16561500422428904,-0.16236140692080006,-0.13637537226262633,-0.12329572816480591,-0.01801543273043349,248,395,225,274,298,299
2012-01,0.007348386726482458,-0.015895586772975662,0.009202581960094257,0.004299024245158655,0.030010983597301602,0.04836445604845095,247,395,224,272,299,298
2012-02,0.1395671769412551,0.13503714499401942,0.13186684552711853,0.11209088912693883,0.10053609612856669,0.04257658225916534,247,395,224,272,300,297
2012-03,-0.06528449415696337,-0.06329798137985322,-0.06087376166089447,-0.06784795455197762,-0.07903940369469016,-0.06349887564910658,246,396,225,273,300,294
2012-04,0.05502527932298197,0.07561088733294183,0.11140160443750019,0.06730511618277997,0.0787043456496034,0.04907305631560069,246,395,224,274,298,294
2012-05,0.018364507502152294,0.01090933863503884,0.013921975326823412,0.03597498359887959,0.018030419672428084,-0.016780487825242583,246,396,224,274,299,294
2012-06,-0.06466832712825976,-0.06705135328808505,-0.08047103777449552,-0.04728859000603144,-0.0889912644792772,-0.03588472102579237,247,396,224,275,300,295
2012-07,-0.1103175805891547,-0.10006043522356592,-0.08431902450043652,-0.05339858048875546,-0.06585427642821366,-0.04560933151504476,284,424,256,295,346,322
2012-08,0.0459929157079638,0.03319186196465001,0.02000937054910185,-0.030846677139514753,-0.035668407542012,-0.029878384845119933,281,422,255,293,346,322
2012-09,0.007690786629717418,0.01370790811406263,0.003838917915573586,0.046349817693993094,0.040280375218512,0.012494052159414598,282,423,254,294,345,322
2012-10,0.013674790366745801,-0.0008086231102868841,0.016411152949672506,-0.026370696697641086,-0.0248952727894012,0.00016215109495171365,280,422,254,294,343,322
2012-11,-0.12060237062223148,-0.12564722851517088,-0.10272808715415102,-0.11492904648607517,-0.09006496992828308,-0.016503821259531825,282,422,255,294,345,322
2012-12,0.15435291041561428,0.15676750595961883,0.1542415955973166,0.1348855580319793,0.18434886353917113,0.14134831931056402,280,420,255,294,344,322
2013-01,0.08430530955852558,0.07232122506083244,0.06768954720165414,0.03076867149213049,0.038300076069226745,0.06119034529111936,277,422,255,293,342,321
2013-02,0.03413748642351943,0.03970590077941569,0.03249386006045344,0.027486162629051267,-0.0013494856664125526,-0.013284060089826544,276,422,255,290,344,322
2013-03,-0.027280996893088275,-0.02778420230212585,-0.024751357865293033,-0.019581223024835833,-0.06961549672592451,-0.06092149661917229,279,422,255,289,343,321
2013-04,-0.047081015591535665,-0.03783201687916532,-0.03796921017618107,-0.03150279046881941,-0.027335152641767474,-0.018071587735030207,276,419,255,289,344,322
2013-05,0.1558382187123253,0.15940661050401797,0.11691206964822036,0.11334652003624933,0.09264437765095129,0.04421730181761581,277,418,255,290,346,320
2013-06,-0.17421449469641215,-0.16628931297028238,-0.16080503666839988,-0.11819803556222593,-0.16549548901983607,-0.11947463411480538,273,416,252,287,342,318
2013-07,0.067961521445993,0.08649280576703375,0.05512259478411817,0.035554894639234676,0.04533554511499692,0.006824606145165678,289,429,283,315,370,318
2013-08,0.09470044844518007,0.09486796817609688,0.10741122277601002,0.04710986313921793,0.057788773983653466,0.048851288251724974,286,422,280,312,371,320
2013-09,0.02898285083668475,0.045672159954758505,0.039573789043130504,0.0380824905273033,0.057245623236638024,0.035661555526645815,279,422,279,306,370,320
2013-10,-0.019827996002591896,-0.014353918423444446,-0.00935980231367066,-0.05490294325264544,-0.035809695802132606,0.0018146118498346302,276,427,278,310,366,320
