form_year,Stkcd,size_june,size_dec_prev,book_equity,be_me,size2,bm3,leg_2x3,size5,bm5
1994,000523,617611.27,1028132.99,283597380.55,275.83725384592515,2,2,BM,3,3
1994,000524,555602.27,1064182.52,394318924.83,370.5369308546808,1,3,SH,3,5
1994,000525,202192.4,426888.33,107993350.0,252.9779860695653,1,2,SM,1,3
1994,000526,236271.6,526050.0,104689293.78,199.01015831194755,1,1,SL,1,2
1994,000527,1260547.2,1894464.0,570134891.57,300.94786259860314,2,2,BM,5,4
1994,000528,1250000.0,3200000.0,596383098.0,186.369718125,2,1,BL,4,2
1994,000529,1295959.54,2121835.59,761774050.03,359.01652965958596,2,3,BH,5,5
1994,000535,682519.74,1113354.0,328468272.21,295.0259056957625,2,2,BM,3,4
1994,000536,331100.0,698500.0,175210133.42,250.8376999570508,1,2,SM,1,3
1994,000539,3796771.5,6043775.0,2454721761.0,406.15703943313576,2,3,BH,5,5
1994,000541,1169125.5,1890665.0,536096166.51,283.54899810913093,2,2,BM,4,3
1994,000547,175626.0,359235.0,90794638.93,252.744412237115,1,2,SM,1,3
1994,600600,2328761.5,4369885.0,1867407486.0,427.3356131797519,2,3,BH,5,5
1994,600601,515520.0,818400.0,89858694.9,109.79801429618769,1,1,SL,3,1
1994,600602,675214.32,1549923.78,913954734.81,589.6772129078502,2,3,BH,3,5
1994,600603,410000.0,831200.0,164804275.01,198.2727081448508,1,1,SL,2,2
1994,600604,972257.0,2177554.97,1049024871.1,481.74438099259555,2,3,BH,4,5
1994,600605,578028.0,1061469.6,257587735.55,242.67085515214,1,2,SM,3,3
1994,600606,228662.55,482556.83,144144594.06,298.7100898768752,1,2,SM,1,4
1994,600607,506829.61,843109.05,141886957.29,168.29016043654138,1,1,SL,3,1
1994,600608,258019.27,555970.1,102984197.39,185.2333378899333,1,1,SL,1,2
1994,600609,1846441.47,4393272.92,1612691082.0,367.0819253359748,2,3,BH,5,5
1994,600610,861714.67,1154998.7,566197498.98,490.2148365881278,2,3,BH,4,5
1994,600611,726483.52,1361776.64,379194688.45,278.4558622256878,2,2,BM,4,3
1994,600612,325887.41,641160.0,185408764.68,289.1770613887329,1,2,SM,1,4
1994,600613,843310.99,833896.03,311973678.94,374.1157982728374,2,3,BH,4,5
1994,600614,438009.69,552192.83,182712024.66,330.8844569024919,1,3,SH,2,4
1994,600615,471099.47,723253.07,208998820.59,288.97052672033595,1,2,SM,2,4
1994,600616,381328.31,677424.33,134853634.57,199.06818901824798,1,1,SL,1,2
1994,600617,848393.04,1765663.35,276677452.24,156.69887028011314,2,1,BL,4,1
