Trdmnt,size_tercile,beta_smb_bin,portfolio,vw_return,n_stocks
2015-05,1,3,SZ1_BSMB3,0.37557014108952774,261
2015-05,2,1,SZ2_BSMB1,0.2795382671398355,184
2015-05,2,2,SZ2_BSMB2,0.2090956892263929,208
2015-05,2,3,SZ2_BSMB3,0.3002121226037575,206
2015-05,3,1,SZ3_BSMB1,-0.008764621500742817,318
2015-05,3,2,SZ3_BSMB2,0.08441956853569489,180
2015-05,3,3,SZ3_BSMB3,0.18085955794602127,119
2015-06,1,1,SZ1_BSMB1,-0.08754142232364527,100
2015-06,1,2,SZ1_BSMB2,-0.0825916955136926,200
2015-06,1,3,SZ1_BSMB3,-0.10148842635890169,251
2015-06,2,1,SZ2_BSMB1,-0.06417494036827907,183
2015-06,2,2,SZ2_BSMB2,-0.08210932655125475,206
2015-06,2,3,SZ2_BSMB3,-0.1182162320152236,201
2015-06,3,1,SZ3_BSMB1,-0.03811946872092277,313
2015-06,3,2,SZ3_BSMB2,-0.08564484747445428,176
2015-06,3,3,SZ3_BSMB3,-0.13497159877997852,115
2015-07,1,1,SZ1_BSMB1,-0.19385422349074072,107
2015-07,1,2,SZ1_BSMB2,-0.2045830570905574,209
2015-07,1,3,SZ1_BSMB3,-0.23748229376923083,262
2015-07,2,1,SZ2_BSMB1,-0.1694917769254961,173
2015-07,2,2,SZ2_BSMB2,-0.1954539688790681,220
2015-07,2,3,SZ2_BSMB3,-0.22522255251262552,178
2015-07,3,1,SZ3_BSMB1,-0.11996827708463118,304
2015-07,3,2,SZ3_BSMB2,-0.17826810729604822,148
2015-07,3,3,SZ3_BSMB3,-0.18890834954474262,111
2015-08,1,1,SZ1_BSMB1,-0.11412819695232826,101
2015-08,1,2,SZ1_BSMB2,-0.12674235502729583,191
2015-08,1,3,SZ1_BSMB3,-0.11323247119365591,255
2015-08,2,1,SZ2_BSMB1,-0.14221764226967865,166
2015-08,2,2,SZ2_BSMB2,-0.12902208373175367,211
2015-08,2,3,SZ2_BSMB3,-0.15040179444115784,178
2015-08,3,1,SZ3_BSMB1,-0.1392134945893845,296
2015-08,3,2,SZ3_BSMB2,-0.11278753327403757,143
2015-08,3,3,SZ3_BSMB3,-0.14878118189292447,111
2015-09,1,1,SZ1_BSMB1,-0.04364680405905318,93
2015-09,1,2,SZ1_BSMB2,-0.015484192367824489,184
2015-09,1,3,SZ1_BSMB3,-0.05796662090636204,252
2015-09,2,1,SZ2_BSMB1,-0.050974847527376396,161
2015-09,2,2,SZ2_BSMB2,-0.054248807233312484,199
2015-09,2,3,SZ2_BSMB3,-0.06824077598134831,179
2015-09,3,1,SZ3_BSMB1,-0.03668666279731151,293
2015-09,3,2,SZ3_BSMB2,-0.0817957960113453,145
2015-09,3,3,SZ3_BSMB3,-0.10667158543752517,110
2015-10,1,1,SZ1_BSMB1,0.24787998057228247,92
2015-10,1,2,SZ1_BSMB2,0.24379218992567897,183
2015-10,1,3,SZ1_BSMB3,0.252130185176158,246
2015-10,2,1,SZ2_BSMB1,0.21613111890955336,159
2015-10,2,2,SZ2_BSMB2,0.20564843077935416,206
2015-10,2,3,SZ2_BSMB3,0.2434815351454607,179
2015-10,3,1,SZ3_BSMB1,0.10814090287042735,291
2015-10,3,2,SZ3_BSMB2,0.12357338393190676,145
2015-10,3,3,SZ3_BSMB3,0.17300462836024555,113
2015-11,1,1,SZ1_BSMB1,0.13955103172510733,94
