Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
1996-06,0.0950109716677508,0.1050183823948352,0.201469309468325,0.12739031931827716,0.4035991847376085,0.2907304202082865,44,65,34,42,49,51
1996-07,0.2121392044776173,0.18861380698894786,0.29625340504475534,0.054582587047338225,0.05521712935975207,0.14535683335940197,57,68,21,31,48,66
1996-08,-0.09048094843879544,-0.031313624000680405,0.05934983622917109,-0.017229159796372268,0.010591967286545455,0.008414680524639047,57,68,21,31,48,66
1996-09,0.0445873816817143,0.03327262104696235,0.05414769079200472,0.08266569879765714,0.08281044230359759,0.050621045044335546,56,68,21,31,48,66
1996-10,0.3192123989606593,0.3754512027139019,0.3069607861070599,0.23679680501503358,0.14874968515606576,0.1651216492760205,57,68,21,31,48,66
1996-11,0.1134680862715284,0.12773170158071273,0.17398658155610527,0.05069106881717501,0.07211858088941973,0.05542755727844024,57,68,21,31,48,66
1996-12,-0.26782492529103497,-0.25113444658452283,-0.18484275979746037,-0.19682381394960732,-0.2283084118007835,-0.12193353156201732,57,68,21,31,48,66
1997-01,0.09078975008105603,0.12667425090331502,0.10683266950256474,0.07661226416655259,0.06243207401977458,0.0736193123387323,57,68,21,31,48,66
1997-02,0.12879977798952982,0.08621090265430188,0.028043735823335605,0.09320227504397807,0.08170203608116733,0.04506716744974861,57,68,21,31,48,66
1997-03,0.1829701339440332,0.23609204120581112,0.20144230285226378,0.13784115828847965,0.17845015085253915,0.21667241442520388,57,68,21,30,48,66
1997-04,-0.00953827493981773,0.11177902129167736,0.12738792179702807,0.0800516742502068,0.11319904990786828,0.15308255050228098,57,68,21,30,48,66
1997-05,-0.15326622967276823,-0.1032116659518606,-0.106919147261676,-0.08178371579804677,-0.12996959313793993,-0.03696680439071219,57,68,21,30,48,66
1997-06,-0.0007788071288335264,0.006165402060347631,0.0007186164436342738,-0.049627315142195504,0.019659537683906235,0.02094885209457936,57,68,21,30,48,66
1997-07,-0.028530391481127997,-0.012274315918241057,-0.03870516034384429,-0.06665138605830866,-0.06796284882855097,-0.08216534379073234,92,100,35,44,82,100
1997-08,0.05461441001487298,-0.004667086529459392,0.042404060884296074,0.06128491925473436,-0.009109661319461261,-0.034573214468096476,92,100,35,44,82,100
1997-09,-0.08338823139032069,-0.11127850945531281,-0.13033157751470986,-0.11636658041000725,-0.09939444329769552,-0.12087682425430513,92,100,35,44,82,100
1997-10,0.0733185068511072,0.08394670484702758,0.08303908144892391,0.08671892287150172,0.12375543454049079,0.15438974419289872,92,100,35,44,82,100
1997-11,-0.02403253656730932,-0.027754217517653234,-0.036054414999811275,-0.07082687526940576,-0.04007732864199973,-0.04507699600804551,92,100,35,44,82,100
1997-12,0.0817252600942894,0.08424778891663308,0.05443196404783653,-0.04729460157254527,0.02745862155777749,0.03953503803517329,92,100,35,44,82,100
1998-01,0.05643919277842873,0.04101435756628791,0.028353254043945342,0.00040686564386933243,0.003473220665155095,0.031590585117984474,92,100,35,44,82,100
1998-02,0.02740801948046361,-0.0036592536900578983,0.03338104131453158,0.01829221971146416,-0.016165749997838305,-0.04488107934617501,92,100,35,44,82,100
1998-03,0.10289030524207983,0.03373524854915483,0.052385710149935115,0.0082710795524254,0.038943587492514524,6.49195802048254e-05,92,100,35,44,82,100
1998-04,0.13437926259071561,0.17264082465694625,0.11096592717905976,0.0630732922475154,0.08421858449714521,0.04739889738788253,92,100,35,44,82,100
1998-05,0.13125375887476662,0.11113833976907969,0.10314042342407759,0.12178716612288536,0.05327604094453832,0.016326958546675676,92,100,35,44,82,100
1998-06,-0.08708916139851461,-0.04789645802776055,-0.07575845462561422,-0.07369237117611,-0.058308921555475665,-0.08570225664820282,89,97,35,43,81,100
1998-07,0.0014333442757708261,-0.015583769497899889,-0.013201411530692889,-0.0333693370235394,-0.015953698268440085,-0.008370293467983009,123,137,74,78,130,126
1998-08,-0.10106211052477937,-0.12019329546895699,-0.1036490110223519,-0.1301745284352651,-0.12250522910852218,-0.14547199971976876,123,137,74,78,130,126
1998-09,0.12663175922657854,0.15181343723071913,0.13353035866251814,0.08447219075118065,0.05649397984080738,0.049202296705718775,122,137,74,78,130,126
1998-10,0.016296836041531728,0.03299534188067054,0.0024761903381391452,-0.03258702707105043,-0.0127661241393115,-0.03160294211966978,122,137,74,78,130,126
1998-11,-0.003836709759870814,0.00766506047557007,0.003359694699344493,0.02428201561866211,0.019645443701513002,0.027356866148783326,122,137,74,78,130,126
1998-12,-0.10969331853333067,-0.09477551494423736,-0.09538726880020658,-0.08035219122435326,-0.08093533202667165,-0.07431245885508543,122,137,74,78,130,126
1999-01,-0.011050261302656973,0.013865011354192037,0.019097175535993858,-0.027737543854381982,-0.013929805669616789,-0.008366609796098606,122,137,74,78,130,126
1999-02,-0.036845834283224514,-0.03410974451462234,-0.03886893914923417,-0.032429841773271226,-0.05233938534691606,-0.04462302239989836,122,137,74,78,130,126
1999-03,0.1495930594222552,0.09464430919590874,0.10221800611912686,0.05255619882713942,0.04894835467031075,0.043657128760300486,122,137,74,78,130,126
1999-04,-0.03809687693300344,-0.04053867794979713,-0.026288645988331586,-0.04620315776872982,-0.020543559433239787,-0.03611181005657419,122,137,74,78,130,126
1999-05,0.10132509892487046,0.08372635547167234,0.10406909413238202,0.1791434217604192,0.1376288505085359,0.1088269478127089,122,137,74,78,130,126
1999-06,0.3104541258372292,0.2944519504498217,0.3566732265946744,0.3805113037369082,0.30330797638721835,0.35967883131237566,122,137,74,78,130,126
1999-07,-0.0596454530524198,-0.04114793335029582,-0.03338037646405325,-0.08788270330517428,-0.05877087641865102,-0.06491352138825766,135,168,64,85,126,155
1999-08,0.06417781780895482,0.042939277898870296,0.037274293312210625,0.014955865290056426,-0.016799323469498542,-0.005255660731669003,135,168,64,85,126,155
1999-09,-0.017177908010677,-0.026658070909257765,-0.03117074549147221,-0.033561887902539035,-0.019081976814505335,-0.037824255195822255,135,168,64,85,126,155
1999-10,-0.025784374626925243,-0.02760399688593051,-0.033248156588288925,-0.04284128644047009,-0.05409114156859473,-0.0542589919222228,135,168,64,85,126,155
1999-11,-0.02317250501188947,-0.014739596371729901,-0.027116948008846807,-0.031544688738948536,-0.06002695699670733,-0.05377098616722152,135,168,64,85,126,155
1999-12,-0.06581986405671077,-0.05648101855811601,-0.0485767411368892,-0.04600618640291044,-0.04468573096883798,-0.04768830433653007,135,168,64,85,126,155
2000-01,0.15881170824139407,0.17677407374469234,0.14291085427926695,0.13131857829963378,0.18024223168516929,0.13287444696745646,135,168,64,85,126,155
2000-02,0.1542189430026611,0.14942232696163524,0.11835230957392791,0.20197077940936956,0.10963204482321774,0.08877562086286137,135,168,64,85,126,155
