Trdmnt,RF,RM,MKT_RF,SMB,HML_EP,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2009-05,0.0018559999999999998,0.063254,0.06139800000000001,0.01764099846037266,-0.006659228581490484,0.09362639825662086,0.06814566235466278,0.05994024966786509,0.058907144952914665,0.03060733356642664,0.07927483637868946,254,263,132,131,258,257
2009-06,0.0018559999999999998,0.126087,0.12423100000000001,-0.05535409207036852,0.016856644301446927,0.07885849827291316,0.04552201908384683,0.05975372652023135,0.09945314709067546,0.09847216555117029,0.1522712074462511,255,263,132,133,258,257
2009-07,0.0018559999999999998,0.156729,0.154873,-0.027375092390018285,-0.014894999380664492,0.13040287839720566,0.1318726933248942,0.15257621173681682,0.20588978631773178,0.13716082009444813,0.15392645421679166,256,281,116,134,241,276
2009-08,0.0018559999999999998,-0.212878,-0.214734,0.06622421467043907,0.0022363335546453644,-0.15516222461066734,-0.14322234237210452,-0.14048065441325905,-0.22216092516894823,-0.1830071119813341,-0.23236982825706576,254,281,116,134,241,275
2009-09,0.0018559999999999998,0.045577,0.043721,-0.020460556205255,-0.0063124869126220395,0.032138743018755175,0.035022575562884566,0.03679990206210151,0.06589362355233576,0.05084177502342512,0.04860749068374534,255,281,116,134,240,275
2009-10,0.0018559999999999998,0.085384,0.083528,0.042529081345012335,-0.00709851136449588,0.12967857804615698,0.12150212597654847,0.13452695308681917,0.10049401853783564,0.07617777376847026,0.0814486207681817,255,281,116,136,241,275
2009-11,0.0018559999999999998,0.078559,0.07670300000000001,0.07665874780238154,-0.006618497196147377,0.1462311018669549,0.17074344053346152,0.1571368080243051,0.07853314406297378,0.11121151944127435,0.0543904435133288,256,281,115,136,240,275
2009-12,0.0018559999999999998,0.023694,0.021838,0.026301978896320213,0.02249054985396175,0.034631872982397185,0.05345371518019576,0.042384752184139333,-0.003982854247047634,0.022301891645685558,0.03324536625913371,256,280,116,136,241,274
2010-01,0.0018559999999999998,-0.083116,-0.08497199999999999,0.06792530709739585,-0.00860771129365076,-0.01996147070434517,-0.007535373876924674,-0.028062456006858926,-0.09674014472693512,-0.05674049514165829,-0.1058545820117229,253,281,116,135,241,273
2010-02,0.0018559999999999998,0.027051,0.025195,0.04335162585598254,-0.028401997516739726,0.08558977414680231,0.07016253116421498,0.05098245024048433,0.03604947463819092,0.026777599834333615,0.013852803511029464,256,281,116,135,242,274
2010-03,0.0018559999999999998,0.021476,0.01962,0.023640767946001437,-0.009684574331022065,0.040983144667327914,0.04904062966284288,0.03702631416094303,0.03361893249086026,0.00430223782704824,0.01820661433520102,255,281,116,134,241,274
2010-04,0.0018559999999999998,-0.076824,-0.07868,0.015756946940033413,-0.003908629407106068,-0.06631145125718528,-0.04568498979656823,-0.0625697971239272,-0.07644027954656199,-0.05739760695718672,-0.08799919249403218,254,281,116,134,240,274
2010-05,0.0018559999999999998,-0.088892,-0.090748,0.012519643031198027,0.000322776643183309,-0.07790699331335925,-0.0616488621650455,-0.07825627553288159,-0.09480551162733843,-0.06675487235609252,-0.09381067612144946,252,281,116,133,240,274
2010-06,0.0018559999999999998,-0.074735,-0.07659099999999999,-0.024397500146826998,0.00930862780651448,-0.1101265328585536,-0.09260899403660375,-0.08090825010856953,-0.06468004704746128,-0.07049015533136824,-0.0752810741844164,254,281,116,134,240,272
2010-07,0.0018559999999999998,0.116607,0.114751,0.04076852007442114,-0.02886418348766054,0.17496615174791025,0.16236401207331516,0.17250016369831872,0.15915143908705645,0.12448426804789738,0.10388906016132694,302,285,116,119,276,304
2010-08,0.0018559999999999998,0.023929,0.022073,0.053674195500586476,-0.0517231616427598,0.10373419546581582,0.11634261028202636,0.07822412270405564,0.06490239665773866,0.08540979915842048,-0.013033853866020772,302,284,116,119,276,301
2010-09,0.0018559999999999998,0.0083,0.006444,-0.020709861213629152,-0.0443996151369378,0.028853671013248313,0.006592517493577455,-0.0028946708448450015,0.053446462638332054,0.04483906444198638,-0.0036044257774502236,302,285,116,118,275,305
