form_year,Stkcd,size_june,size_dec_prev,earnings,ep,size2,ep3,leg_2x3,size5,ep5
1995,600633,1188760.8,1420983.84,42126300.0,29.645868456885477,2,1,BL,4,2
1995,600634,401404.59,461465.13,10744700.0,23.283882793050907,1,1,SL,1,1
1995,600635,1114038.9,942189.3,26354670.0,27.97173561618668,2,1,BL,4,1
1995,600636,555024.0,593712.0,7122100.0,11.99588352601935,1,1,SL,2,1
1995,600637,2097560.11,2084847.62,108424000.0,52.00571924772132,2,2,BM,5,3
1995,600638,2588716.79,2457577.85,85513000.0,34.79564238422803,2,1,BL,5,2
1995,600639,5913300.0,6272100.0,207267480.0,33.04594633376381,2,1,BL,5,2
1995,600640,2767689.0,3032680.5,129177190.0,42.59505411137111,2,2,BM,5,2
1995,600641,1911548.16,1827450.72,65101000.0,35.62394284426997,2,1,BL,5,2
1995,600642,9130399.46,10091494.14,489153720.0,48.47188267801937,2,2,BM,5,3
1995,600643,1962000.0,2052000.0,134012000.0,65.30799220272904,2,2,BM,5,4
1995,600644,400307.6,370319.4,16257740.0,43.9019397849532,1,2,SM,1,2
1995,600645,1114422.24,1133552.93,31373000.0,27.676696138044477,2,1,BL,4,1
1995,600646,681405.13,691686.07,10586000.0,15.304630899968826,1,1,SL,3,1
1995,600647,473623.24,541589.51,5139000.0,9.488736220167928,1,1,SL,2,1
1995,600648,9985500.0,8572500.0,221064530.0,25.787638378536016,2,1,BL,5,1
1995,600649,3821718.08,4465732.65,204958000.0,45.895716574076594,2,2,BM,5,2
1995,600650,3247942.19,3384674.06,69241100.0,20.4572430823664,2,1,BL,5,1
1995,600651,469872.0,473200.0,13008191.19,27.489837679628064,1,1,SL,2,1
1995,600652,525657.6,522288.0,11832890.0,22.655871856140674,1,1,SL,2,1
1995,600653,854474.4,899262.0,32385000.0,36.01286388171634,2,1,BL,3,2
1995,600654,939519.87,990969.17,33430000.0,33.734651906476564,2,1,BL,4,2
1995,600655,3324934.54,3756874.67,71980510.0,19.159678275879244,2,1,BL,5,1
1995,600656,363551.94,283539.44,7896000.0,27.847977692274487,1,1,SL,1,1
1995,600657,517442.37,322065.9,15389700.0,47.784319917134965,1,2,SM,2,3
1995,600658,497802.05,484250.27,25420000.0,52.493517453278855,1,2,SM,2,3
1995,600659,481038.96,512007.14,13341000.0,26.056277262070992,1,1,SL,2,1
1995,600660,1464711.86,1078515.45,82811520.0,76.78287779743907,2,3,BH,5,4
1995,600661,895575.95,844321.98,21997450.0,26.05339020073835,2,1,BL,3,1
1995,600662,1297296.0,1024218.0,22962000.0,22.41905531830138,2,1,BL,5,1
1995,600663,11033100.0,11033100.0,426868000.0,38.689760810651585,2,2,BM,5,2
1995,600664,745288.0,778131.2,100910000.0,129.6825008430455,2,3,BH,3,5
1995,600665,1291383.1,1445004.88,81515000.0,56.4115741948221,2,2,BM,4,3
1995,600666,542926.93,622657.46,19572390.0,31.433639291818654,1,1,SL,2,2
1995,600667,652146.15,719449.49,56567000.0,78.62539453603615,1,3,SH,3,4
1995,600668,654598.38,408501.37,36423770.0,89.16437660906743,1,3,SH,3,5
1995,600669,260613.41,244133.89,8894800.0,36.43410589164822,1,1,SL,1,2
1995,600670,374222.41,412981.16,4024000.0,9.743785890862432,1,1,SL,1,1
1995,600671,339570.0,322938.0,15479000.0,47.931801150685274,1,2,SM,1,3
1995,600672,376208.47,299037.5,14698000.0,49.15102620908749,1,2,SM,1,3
1995,600673,379722.69,285043.83,18704012.59,65.6180229896574,1,2,SM,1,4
1995,600674,532613.17,528739.62,42193000.0,79.7992024883628,1,3,SH,2,4
1995,600675,2044429.4,2028703.02,66658200.0,32.857544619813304,2,1,BL,5,2
