Trdmnt,model,coefficient,lambda,n_stocks
1993-10,M7_all3,beta,-0.2881071100,11
1993-10,M7_all3,ln_size,-0.1078784796,11
1993-10,M7_all3,ln_be_me,-0.1135010862,11
1993-11,M1_beta,intercept,0.2424982379,11
1993-11,M1_beta,beta,-0.0380509689,11
1993-11,M2_ln_size,intercept,0.7188100356,98
1993-11,M2_ln_size,ln_size,-0.0378910457,98
1993-11,M3_ln_be_me,intercept,-0.2838539941,52
1993-11,M3_ln_be_me,ln_be_me,0.0900200835,52
1993-11,M4_beta_ln_size,intercept,1.4469082259,11
1993-11,M4_beta_ln_size,beta,0.1169892849,11
1993-11,M4_beta_ln_size,ln_size,-0.0954663212,11
1993-11,M5_beta_ln_be_me,intercept,-0.1799447088,11
1993-11,M5_beta_ln_be_me,beta,-0.0007303147,11
1993-11,M5_beta_ln_be_me,ln_be_me,0.0801765199,11
1993-11,M6_ln_size_ln_be_me,intercept,0.8101926725,52
1993-11,M6_ln_size_ln_be_me,ln_size,-0.0754916439,52
1993-11,M6_ln_size_ln_be_me,ln_be_me,0.0853666770,52
1993-11,M7_all3,intercept,1.1103892363,11
1993-11,M7_all3,beta,0.1358835636,11
1993-11,M7_all3,ln_size,-0.0915097543,11
1993-11,M7_all3,ln_be_me,0.0543950461,11
1993-12,M1_beta,intercept,0.0533364927,11
1993-12,M1_beta,beta,-0.1281952360,11
1993-12,M2_ln_size,intercept,0.2546341543,98
1993-12,M2_ln_size,ln_size,-0.0267612951,98
1993-12,M3_ln_be_me,intercept,0.4689396946,52
1993-12,M3_ln_be_me,ln_be_me,-0.1171558338,52
1993-12,M4_beta_ln_size,intercept,0.0652219762,11
1993-12,M4_beta_ln_size,beta,-0.1266652517,11
1993-12,M4_beta_ln_size,ln_size,-0.0009420906,11
1993-12,M5_beta_ln_be_me,intercept,0.8497572358,11
1993-12,M5_beta_ln_be_me,beta,-0.1985548984,11
1993-12,M5_beta_ln_be_me,ln_be_me,-0.1511547157,11
1993-12,M6_ln_size_ln_be_me,intercept,0.8710298783,52
1993-12,M6_ln_size_ln_be_me,ln_size,-0.0277451135,52
1993-12,M6_ln_size_ln_be_me,ln_be_me,-0.1188660800,52
1993-12,M7_all3,intercept,1.0215925106,11
1993-12,M7_all3,beta,-0.1803618691,11
1993-12,M7_all3,ln_size,-0.0121864606,11
1993-12,M7_all3,ln_be_me,-0.1545880646,11
1994-01,M1_beta,intercept,-0.1728108319,11
1994-01,M1_beta,beta,0.0598723594,11
1994-01,M2_ln_size,intercept,-0.0893454257,98
1994-01,M2_ln_size,ln_size,-0.0014973657,98
1994-01,M3_ln_be_me,intercept,-0.2275521695,52
1994-01,M3_ln_be_me,ln_be_me,0.0181314299,52
1994-01,M4_beta_ln_size,intercept,0.4038804554,11
1994-01,M4_beta_ln_size,beta,0.1341081798,11
1994-01,M4_beta_ln_size,ln_size,-0.0457108429,11
1994-01,M5_beta_ln_be_me,intercept,-0.1515284914,11
1994-01,M5_beta_ln_be_me,beta,0.0579921745,11
1994-01,M5_beta_ln_be_me,ln_be_me,-0.0040392295,11
1994-01,M6_ln_size_ln_be_me,intercept,0.2643711585,52
1994-01,M6_ln_size_ln_be_me,ln_size,-0.0339437995,52
1994-01,M6_ln_size_ln_be_me,ln_be_me,0.0160390884,52
1994-01,M7_all3,intercept,0.5107318737,11
1994-01,M7_all3,beta,0.1281088736,11
1994-01,M7_all3,ln_size,-0.0469671309,11
1994-01,M7_all3,ln_be_me,-0.0172715003,11
1994-02,M1_beta,intercept,-0.0120159200,11
1994-02,M1_beta,beta,-0.0066734862,11
1994-02,M2_ln_size,intercept,0.0344999381,98
1994-02,M2_ln_size,ln_size,-0.0020670979,98
1994-02,M3_ln_be_me,intercept,0.0666357696,52
1994-02,M3_ln_be_me,ln_be_me,-0.0134729167,52
1994-02,M4_beta_ln_size,intercept,-0.0134777217,11
1994-02,M4_beta_ln_size,beta,-0.0068616597,11
1994-02,M4_beta_ln_size,ln_size,0.0001158682,11
1994-02,M5_beta_ln_be_me,intercept,-0.1908972545,11
1994-02,M5_beta_ln_be_me,beta,0.0091297566,11
1994-02,M5_beta_ln_be_me,ln_be_me,0.0339503428,11
1994-02,M6_ln_size_ln_be_me,intercept,0.1084200815,52
1994-02,M6_ln_size_ln_be_me,ln_size,-0.0028832101,52
1994-02,M6_ln_size_ln_be_me,ln_be_me,-0.0136506417,52
1994-02,M7_all3,intercept,-0.2281144824,11
1994-02,M7_all3,beta,0.0051893891,11
1994-02,M7_all3,ln_size,0.0026394248,11
1994-02,M7_all3,ln_be_me,0.0346939604,11
1994-03,M1_beta,intercept,0.0693198542,11
1994-03,M1_beta,beta,-0.1783481607,11
1994-03,M2_ln_size,intercept,0.6163894983,98
1994-03,M2_ln_size,ln_size,-0.0491338446,98
1994-03,M3_ln_be_me,intercept,-0.3910434856,52
1994-03,M3_ln_be_me,ln_be_me,0.0571547436,52
1994-03,M4_beta_ln_size,intercept,1.1632471678,11
1994-03,M4_beta_ln_size,beta,-0.0375300256,11
1994-03,M4_beta_ln_size,ln_size,-0.0867090255,11
1994-03,M5_beta_ln_be_me,intercept,0.1890834557,11
1994-03,M5_beta_ln_be_me,beta,-0.1889286568,11
1994-03,M5_beta_ln_be_me,ln_be_me,-0.0227302381,11
1994-03,M6_ln_size_ln_be_me,intercept,0.5143073468,52
1994-03,M6_ln_size_ln_be_me,ln_size,-0.0624712133,52
1994-03,M6_ln_size_ln_be_me,ln_be_me,0.0533039340,52
1994-03,M7_all3,intercept,1.4611048470,11
