Trdmnt,UMD,winner_ret,loser_ret,J,K,skip
1996-12,-0.09729471545119617,-0.2618612439603112,-0.16456652850911502,12,3,1
1997-01,0.09295411774548375,0.1465533180322912,0.053599200286807466,12,3,1
1997-02,-0.07721356660505542,0.05609661865731867,0.1333101852623741,12,3,1
1997-03,0.007090080900404028,0.2012685923043584,0.19417851140395437,12,3,1
1997-04,-0.018723648292563372,0.08287242946946713,0.1015960777620305,12,3,1
1997-05,0.036777153681220365,-0.0748521420016454,-0.11162929568286577,12,3,1
1997-06,0.09659647886891698,0.04134885390891124,-0.05524762496000574,12,3,1
1997-07,-0.07960026063945831,-0.0917250685399052,-0.012124807900446889,12,3,1
1997-08,-0.14508806846302125,-0.05189637425384887,0.0931916942091724,12,3,1
1997-09,-0.023594953012325587,-0.11749543482697022,-0.09390048181464464,12,3,1
1997-10,0.04380906313172869,0.14492147860356797,0.10111241547183927,12,3,1
1997-11,0.016491625020540177,-0.03282915586134115,-0.049320780881881326,12,3,1
1997-12,0.035646744879462886,0.06128274705967472,0.025636002180211833,12,3,1
1998-01,-0.0030247904779975784,0.032778572761620245,0.03580336323961782,12,3,1
1998-02,-0.04399714073777432,-0.02970676516670587,0.014290375571068444,12,3,1
1998-03,0.015516668100282523,0.0433644588626714,0.02784779076238888,12,3,1
1998-04,0.013605370102542619,0.10152514516688418,0.08791977506434157,12,3,1
1998-05,-0.07450297192058465,0.049557504802051885,0.12406047672263654,12,3,1
1998-06,0.018058108634993533,-0.05682546941391693,-0.07488357804891047,12,3,1
1998-07,0.006890276534197196,-0.0009777208657458809,-0.007867997399943077,12,3,1
1998-08,0.05818367961932233,-0.08733358954130901,-0.14551726916063135,12,3,1
1998-09,-0.007732578643331392,0.09880148679841586,0.10653406544174725,12,3,1
1998-10,0.007850055296412712,-0.002944122846099864,-0.010794178142512576,12,3,1
1998-11,-0.01379138537717635,0.007226579334540411,0.021017964711716762,12,3,1
1998-12,-0.036521238464214206,-0.11003468256121313,-0.07351344409699892,12,3,1
1999-01,0.013845063268136875,-0.001045698973372102,-0.014890762241508978,12,3,1
1999-02,0.024145160986222818,-0.030125432953328556,-0.05427059393955137,12,3,1
1999-03,-0.012130857886524918,0.08109304432640886,0.09322390221293378,12,3,1
1999-04,0.006658361012502258,-0.0341474609996916,-0.040805822012193856,12,3,1
1999-05,0.06268105231112789,0.15117423444564265,0.08849318213451476,12,3,1
1999-06,-0.013579677891092046,0.32378024167186625,0.3373599195629583,12,3,1
1999-07,-0.009688794959284971,-0.059907990584914333,-0.05021919562562936,12,3,1
1999-08,-0.019148119045137253,0.013439646580922567,0.03258776562605982,12,3,1
1999-09,-0.009972328651436338,-0.029059341128865664,-0.019087012477429326,12,3,1
1999-10,-0.0041160040472789095,-0.04256423932628968,-0.03844823527901077,12,3,1
1999-11,-0.01849571194825366,-0.03976467091572628,-0.02126895896747262,12,3,1
1999-12,0.03868757156961585,-0.03838914081822981,-0.07707671238784566,12,3,1
2000-01,0.13484375540865295,0.21333298560795155,0.0784892301992986,12,3,1
2000-02,0.012615821090119078,0.1446529263090684,0.13203710521894932,12,3,1
2000-03,-0.0742092990246753,0.05248230807069056,0.12669160709536587,12,3,1
2000-04,-0.03087418312965575,-0.00042812620550993635,0.030446056924145815,12,3,1
2000-05,-0.012478145387647677,0.030071470429488194,0.04254961581713587,12,3,1
2000-06,-0.06314338953020607,-0.010222766329052339,0.05292062320115373,12,3,1
2000-07,-0.03630832505276356,0.03440264717442444,0.070710972227188,12,3,1
2000-08,0.0011629709252762568,0.006509646840731679,0.005346675915455422,12,3,1
2000-09,0.02968195687006597,-0.022681769782129452,-0.05236372665219542,12,3,1
2000-10,-0.027011570231641788,0.014224727764962667,0.04123629799660446,12,3,1
2000-11,-0.019742811679497624,0.04902432940742876,0.06876714108692639,12,3,1
2000-12,-0.014516955469140674,-0.011110334703843497,0.0034066207652971767,12,3,1
2001-01,-0.026884082716641455,-0.02570982295085803,0.0011742597657834228,12,3,1
2001-02,0.007388819904376717,-0.057382012956693956,-0.06477083286107067,12,3,1
2001-03,0.008978165025794627,0.08492261327136633,0.0759444482455717,12,3,1
2001-04,0.0025024229118404432,0.0012348374327059214,-0.0012675854791345219,12,3,1
2001-05,0.01634252800384576,0.05149743267198067,0.03515490466813491,12,3,1
2001-06,-0.013533028073247064,-0.007855494279514767,0.005677533793732297,12,3,1
2001-07,0.011886863499533051,-0.12384708008556022,-0.13573394358509328,12,3,1
2001-08,0.024692919003965155,-0.020132689794984435,-0.04482560879894959,12,3,1
2001-09,-0.031098081697274023,-0.0707455926916451,-0.039647510994371075,12,3,1
2001-10,-0.0037883318072333555,-0.053053590001751964,-0.04926525819451861,12,3,1
2001-11,-0.03299936340171845,0.02936843480788083,0.06236779820959928,12,3,1
2001-12,0.029414677635416914,-0.05504816749826055,-0.08446284513367747,12,3,1
2002-01,0.021756000767912745,-0.10613881538368679,-0.12789481615159953,12,3,1
2002-02,-0.03755021631799383,0.01938818328435154,0.05693839960234537,12,3,1
2002-03,-0.033720595893139985,0.0597392137864806,0.09345980967962059,12,3,1
2002-04,-0.011904911629514438,0.04082566538811242,0.05273057701762686,12,3,1
2002-05,-0.004043825651917007,-0.08458944455259125,-0.08054561890067424,12,3,1
2002-06,-0.029633752903625132,0.10529871397655305,0.13493246688017818,12,3,1
2002-07,0.016596306571320222,-0.02829460550929924,-0.04489091208061946,12,3,1
2002-08,-0.0002609288923532526,0.008131427203913522,0.008392356096266774,12,3,1
2002-09,0.023190062418872094,-0.0450032452409681,-0.06819330765984019,12,3,1
2002-10,0.012002681858155548,-0.04380608291891405,-0.0558087647770696,12,3,1
2002-11,0.025700752039531843,-0.05698477016672866,-0.0826855222062605,12,3,1
2002-12,0.017168578031103443,-0.03840369790713477,-0.055572275938238214,12,3,1
2003-01,-0.05267760358179331,0.07231026867081249,0.1249878722526058,12,3,1
2003-02,0.0009070414448744922,0.014835128872687581,0.01392808742781309,12,3,1
2003-03,0.033926832857168444,-0.0019135402973432247,-0.03584037315451167,12,3,1
2003-04,0.03908902766987864,-0.012112414764951687,-0.051201442434830324,12,3,1
2003-05,-0.0222621433613531,0.03231496776259937,0.05457711112395247,12,3,1
2003-06,0.007144154860163898,-0.06258799760390986,-0.06973215246407376,12,3,1
2003-07,0.02360498504482349,-0.008448528940091005,-0.032053513984914496,12,3,1
2003-08,-0.03115053403256942,-0.043208927963949706,-0.012058393931380286,12,3,1
2003-09,-0.0033484927790881427,-0.047065676335942296,-0.04371718355685415,12,3,1
2003-10,0.07334119332904006,-0.019116111511616893,-0.09245730484065695,12,3,1
2003-11,-0.035873206830768514,0.0004261633248461051,0.03629937015561462,12,3,1
2003-12,0.08793024492700544,0.04860410459940494,-0.0393261403276005,12,3,1
2004-01,-0.060592397707798076,0.05681087065300219,0.11740326836080027,12,3,1
2004-02,-0.06173510493074148,0.06745137285684617,0.12918647778758766,12,3,1
2004-03,-0.01617972054952098,0.030522594215793272,0.04670231476531425,12,3,1
2004-04,0.04240891113870916,-0.0836759347032565,-0.12608484584196566,12,3,1
2004-05,-0.00925643179028663,-0.022672922504539623,-0.013416490714252993,12,3,1
2004-06,0.023515451001473925,-0.10440400728959065,-0.12791945829106457,12,3,1
2004-07,0.034294980642263884,-0.0003276547598250936,-0.03462263540208898,12,3,1
2004-08,0.003717304705723616,-0.04185994215047369,-0.04557724685619731,12,3,1
2004-09,0.02708491584932579,0.05974975469366237,0.03266483884433658,12,3,1
2004-10,0.04832416523533367,-0.04120615259724497,-0.08953031783257864,12,3,1
2004-11,-0.06071333683522218,0.008911310626951503,0.06962464746217369,12,3,1
2004-12,0.04386542750481258,-0.05417143799959377,-0.09803686550440635,12,3,1
2005-01,-0.002955009591728716,-0.0625619814928256,-0.059606971901096886,12,3,1
2005-02,-0.017004089724673405,0.09688687552102596,0.11389096524569936,12,3,1
2005-03,0.04586191855340928,-0.09472121592278186,-0.14058313447619114,12,3,1
2005-04,0.03477398407251171,-0.04221142811101376,-0.07698541218352548,12,3,1
2005-05,-0.06604764552910683,-0.07567262748918614,-0.009624981960079309,12,3,1
2005-06,0.02330217774695966,0.012245593487055586,-0.011056584259904077,12,3,1
2005-07,0.07083289292326331,-0.009069714345760253,-0.07990260726902355,12,3,1
2005-08,-0.10239620413551527,0.0891219310004474,0.19151813513596266,12,3,1
2005-09,-0.00028682859906234426,0.01579866710148277,0.016085495700545113,12,3,1
2005-10,0.02131545648350361,-0.04750971306187801,-0.06882516954538162,12,3,1
2005-11,-0.03038707828882323,0.0014314788759273959,0.03181855716475063,12,3,1
2005-12,0.023384238552793053,0.046043269114041115,0.022659030561248062,12,3,1
2006-01,-0.006975837869773516,0.07825372468515872,0.08522956255493223,12,3,1
2006-02,-0.03419897230370031,0.023413602003682133,0.05761257430738244,12,3,1
2006-03,0.052175867594315806,0.025088187640297216,-0.02708767995401859,12,3,1
2006-04,0.09945478403658278,0.14304117235878439,0.0435863883222016,12,3,1
2006-05,-0.1086258180167961,0.186617443528032,0.2952432615448281,12,3,1
2006-06,-0.010737371394098326,0.04673870889835898,0.05747608029245731,12,3,1
2006-07,-0.012151652170042604,-0.04905848720931493,-0.03690683503927233,12,3,1
2006-08,0.020438605647340603,0.042628271736575796,0.022189666089235192,12,3,1
2006-09,-0.014433740796932396,0.05105642777000101,0.0654901685669334,12,3,1
2006-10,-0.011024674958250352,0.011348155245621258,0.02237283020387161,12,3,1
2006-11,0.017007711291866012,0.09007470432494136,0.07306699303307534,12,3,1
2006-12,0.006877164321284754,0.10139047164421229,0.09451330732292754,12,3,1
2007-01,-0.024562655716930892,0.2107498805536384,0.2353125362705693,12,3,1
2007-02,-0.07124421412932981,0.11945260065570144,0.19069681478503125,12,3,1
2007-03,-0.056286751030336896,0.13822356859479382,0.1945103196251307,12,3,1
2007-04,-0.009336419830743348,0.31164589019588085,0.3209823100266242,12,3,1
2007-05,0.018624550407749588,0.09800243101454767,0.07937788060679808,12,3,1
2007-06,0.0008387790594840683,-0.14874142798619563,-0.1495802070456797,12,3,1
2007-07,0.012309053240666223,0.23139908004899873,0.2190900268083325,12,3,1
2007-08,0.006149276999378922,0.13827448282137908,0.13212520582200016,12,3,1
2007-09,0.01146241878083415,0.04773615286728501,0.03627373408645086,12,3,1
2007-10,-0.027914846847958634,-0.06456447208497565,-0.036649625237017015,12,3,1
2007-11,-0.08876828293825681,-0.12960638633862753,-0.04083810340037072,12,3,1
2007-12,0.013578193114118231,0.18253300759115004,0.1689548144770318,12,3,1
2008-01,-0.03343861107178364,-0.09943340847896152,-0.06599479740717788,12,3,1
2008-02,-0.004751430862135697,0.0679679676908554,0.0727193985529911,12,3,1
2008-03,-0.047126320042006564,-0.20599612327569095,-0.15886980323368438,12,3,1
2008-04,-0.030644063239045505,-0.032866344309131934,-0.0022222810700864293,12,3,1
2008-05,0.0017725515962368418,-0.04567983233151821,-0.047452383927755054,12,3,1
2008-06,0.0006972694420439018,-0.23630333968903722,-0.23700060913108112,12,3,1
